session	leopard_id	occasion	trapid
1	LCNP10	25	CP116
1	LCNP10	31	CP111
1	LCNP11	15	CP133
1	LCNP12	17	CP130
1	LCNP12	22	CP165
1	LCNP13	42	CP135
1	LCNP14	29	CP209
1	LCNP14	46	CP209
1	LCNP14	47	CP209
1	LCNP14	48	CP209
1	LCNP15	57	CP234
1	LCNP15	57	CP218
1	LCNP16	38	CP182
1	LCNP18	28	CP27
1	LCNP19	40	CP17
1	LCNP1	31	CP111
1	LCNP1	39	CP123
1	LCNP21	5	CP246
1	LCNP21	7	CP246
1	LCNP21	48	CP151
1	LCNP21	51	CP151
1	LCNP21	52	CP177
1	LCNP22	7	CP246
1	LCNP23	9	CP24
1	LCNP24	27	CP150
1	LCNP26	14	CP209
1	LCNP26	20	CP207
1	LCNP26	47	CP243
1	LCNP26	48	CP243
1	LCNP26	52	CP243
1	LCNP27	26	CP224
1	LCNP27	35	CP60
1	LCNP2	14	CP179
1	LCNP2	28	CP168
1	LCNP2	29	CP150
1	LCNP2	34	CP150
1	LCNP2	41	CP178
1	LCNP2	43	CP150
1	LCNP2	52	CP127
1	LCNP2	53	CP150
1	LCNP30	13	CP90
1	LCNP30	38	CP103
1	LCNP30	44	CP111
1	LCNP30	55	CP111
1	LCNP31	38	CP171
1	LCNP32	41	CP22
1	LCNP33	53	CP32
1	LCNP34	22	CP210
1	LCNP34	42	CP228
1	LCNP36	23	CP84
1	LCNP37	52	CP182
1	LCNP39	52	CP127
1	LCNP3	38	CP224
1	LCNP40	9	CP169
1	LCNP41	41	CP178
1	LCNP42	43	CP220
1	LCNP43	24	CP223
1	LCNP43	45	CP151
1	LCNP43	57	CP176
1	LCNP46	44	CP1
1	LCNP48	48	CP209
1	LCNP49	38	CP148
1	LCNP4	40	CP130
1	LCNP51	37	CP239
1	LCNP51	37	CP239
1	LCNP5	20	CP153
1	LCNP5	44	CP121
1	LCNP5	50	CP153
1	LCNP5	50	CP153
1	LCNP64	44	CP212
1	LCNP64	46	CP241
1	LCNP6	28	CP27
1	LCNP7	24	CP179
1	LCNP7	24	CP168
1	LKCN8	14	CP246
1	LCNP9	27	CP14
1	LCNP9	41	CP11
1	LCNP9	41	CP15
1	LCNP9	53	CP15
1	LKLG103	25	KG600
1	LKLG10	5	KG534
1	LKLG10	9	KG499
1	LKLG10	13	KG502
1	LKLG10	14	KG535
1	LKLG10	15	KG534
1	LKLG10	16	KG502
1	LKLG10	18	KG463
1	LKLG10	18	KG568
1	LKLG10	21	KG539
1	LKLG10	24	KG501
1	LKLG10	25	KG502
1	LKLG10	34	KG502
1	LKLG10	41	KG502
