session	tigerid	occasion	trapid
1	TKLG100	11	KG585
1	TKLG100	11	KG585
1	TKLG100	11	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG585
1	TKLG100	13	KG608
1	TKLG100	13	KG608
1	TKLG100	13	KG608
1	TKLG100	13	KG608
1	TKLG100	13	KG608
1	TKLG100	23	KG585
1	TKLG100	23	KG585
1	TKLG100	23	KG608
1	TKLG100	23	KG608
1	TKLG100	33	KG583
1	TKLG100	35	KG584
1	TKLG100	35	KG584
1	TKLG100	35	KG584
1	TKLG100	35	KG584
1	TKLG100	35	KG584
1	TKLG100	35	KG584
1	TKLG100	43	KG627
1	TKLG100	43	KG627
1	TKLG100	43	KG627
1	TKLG100	43	KG627
1	TKLG100	43	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	44	KG627
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG585
1	TKLG100	45	KG608
1	TKLG100	48	KG644
1	TKLG100	48	KG644
1	TKLG100	48	KG644
1	TKLG100	48	KG644
1	TKLG100	48	KG644
1	TKLG100	48	KG644
1	TKLG100	55	KG606
1	TKLG100	55	KG606
1	TKLG100	55	KG583
1	TKLG100	55	KG583
1	TKLG100	55	KG583
1	TKLG100	55	KG583
1	TKLG100	55	KG583
1	TKLG100	55	KG583
