#Session	ID	Occasion	Trap
PTR	L1	8	PR66
PTR	L1	11	PR66
PTR	L1	11	PR79
PTR	L1	14	PR79
PTR	L2	7	V16
PTR	L2	23	V16
PTR	L3	8	P26
PTR	L4	22	A1
PTR	L4	7	A11
PTR	L4	2	P14
PTR	L4	13	A13
PTR	L5	19	P31
PTR	L5	20	PR2
PTR	L6	12	PR30
PTR	L6	29	PR30
PTR	L7	5	PR59
PTR	L7	10	PR88
PTR	L8	11	V11
PTR	L9	26	A11
PTR	L10	11	PR19
PTR	L11	18	V36
PTR	L12	22	PR76
PTR	L12	6	PR76
PTR	L13	28	PR73
PTR	L14	18	V45
PTR	L15	29	V7
PTR	L15	1	PR56
PTR	L16	26	V28
PTR	L17	16	A12
PTR	L17	22	A11
PTR	L17	20	P38
PTR	L17	26	A9
PTR	L18	15	PR80
PTR	L18	22	PR80
PTR	L19	26	PR88
PTR	L20	21	V16
PTR	L20	17	V12
PTR	L20	9	T7
PTR	L20	13	V16
PTR	L21	30	V24
PTR	L21	16	V25
PTR	L22	30	PR58
PTR	L23	1	PR16
PTR	L24	3	PR19
PTR	L25	29	PR32
PTR	L26	17	V38
PTR	L27	21	PR51
PTR	L27	7	PR80
PTR	L28	2	PR32
PTR	L29	3	PR78
PTR	L30	10	V59
PTR	L31	8	PR60
PTR	L32	16	V52
PTR	L32	14	PR19
PTR	L33	12	P10
PTR	L33	24	A8
PTR	L34	18	PR85
PTR	L35	6	PR65
PTR	L35	6	V25
PTR	L35	20	V25
PTR	L35	26	V25
PTR	L35	22	V24
PTR	L36	27	PR85
PTR	L37	14	A13
PTR	L38	26	P35
