SESSION	ANIMAL_ID	SO	LOC_ID	SEX
1	1	1	11	M 
1	1	50	32	M 
1	2	1	13	F
1	2	36	13	F
1	2	44	13	F
1	2	47	13	F
1	2	50	13	F
1	2	54	13	F
1	2	58	13	F
1	3	2	8	M 
1	3	48	8	M 
1	4	41	1	M 
1	4	68	1	M 
1	4	71	1	M 
1	4	81	1	M 
1	4	6	4	M 
1	4	10	13	M 
1	5	8	43	NA
1	5	10	43	NA
1	6	75	14	M 
1	6	9	38	M 
1	6	9	46	M 
1	7	13	4	F
1	7	46	7	F
1	7	73	7	F
1	8	28	6	M 
1	8	26	7	M 
1	8	43	7	M 
1	8	23	8	M 
1	8	44	8	M 
1	8	50	8	M 
1	8	52	8	M 
1	8	73	8	M 
1	8	16	24	M 
1	8	49	39	M 
1	9	24	25	NA
1	10	25	32	M 
1	11	27	34	F
1	11	28	34	F
1	12	38	32	NA
1	13	39	3	M 
1	14	43	1	F
1	14	68	1	F
1	14	77	1	F
1	15	71	2	M 
1	15	49	13	M 
1	16	51	46	F
1	17	54	14	M 
1	17	75	14	M 
1	18	58	7	F
1	19	62	1	M 
1	20	68	1	NA
1	20	70	1	NA
1	21	76	38	M 
