#Session	ID	Occasion	Trap
PTR	PY1	6	PR3
PTR	PY2	17	PR35
PTR	PY2	7	PR35
PTR	PY2	9	PR35
PTR	PY2	8	PR29
PTR	PY2	17	PR29
PTR	PY2	25	PR36
PTR	PY2	28	PR42
PTR	PY2	25	PR45
PTR	PY2	14	PR43
PTR	PY2	17	PR43
PTR	PY2	25	PR43
PTR	PY2	7	PR36
PTR	PY3	9	PR39
PTR	PY3	19	PR40
PTR	PY3	21	PR40
PTR	PY3	21	PR32
PTR	PY4	10	PR39
PTR	PY4	30	PR37
PTR	PY4	20	V37
PTR	PY4	5	PR55
PTR	PY4	4	PR6
PTR	PY4	9	PR36
PTR	PY4	8	PR35
PTR	PY4	14	P5
PTR	PY4	30	PR36
PTR	PY5	1	PR33
PTR	PY5	23	PR33
PTR	PY5	11	T4
PTR	PY5	20	PR31
PTR	PY5	23	PR16
PTR	PY6	5	T24
PTR	PY7	12	T4
PTR	PY7	28	PR64
PTR	PY7	30	PR50
PTR	PY8	6	V23
PTR	PY8	16	PR55
PTR	PY8	19	PR55
PTR	PY8	25	V43
PTR	PY8	6	V23
PTR	PY8	15	PR55
PTR	PY9	5	T24
PTR	PY9	26	PR14
PTR	PY9	22	T26
PTR	PY9	20	T24
PTR	PY10	11	V60
PTR	PY10	2	P5
PTR	PY10	17	V50
PTR	PY11	17	PR25
PTR	PY11	3	P31
PTR	PY11	23	P31
PTR	PY12	21	T22
PTR	PY12	28	PR64
PTR	PY13	4	PR6
PTR	PY13	10	V24
PTR	PY13	19	V24
PTR	PY13	3	V50
PTR	PY13	7	PR35
PTR	PY13	18	PR35
PTR	PY13	19	V36
PTR	PY13	23	V50
PTR	PY13	24	V50
PTR	PY13	4	PR55
PTR	PY13	12	V17
PTR	PY13	20	V25
PTR	PY13	15	V50
PTR	PY14	17	T20
PTR	PY14	14	T17
PTR	PY14	20	V12
PTR	PY14	27	P30
PTR	PY15	19	V5
PTR	PY16	10	V24
PTR	PY16	22	V24
PTR	PY17	17	P40
PTR	PY17	18	P40
PTR	PY17	1	P32
PTR	PY17	17	P39
PTR	PY17	13	V43
PTR	PY18	24	V12
PTR	PY18	17	V11
PTR	PY18	24	V11
PTR	PY18	26	V17
PTR	PY18	3	V11
PTR	PY18	24	V5
PTR	PY19	9	V25
PTR	PY20	30	V50
PTR	PY20	28	PR64
PTR	PY21	20	T24
PTR	PY22	29	T18
PTR	PY22	21	T18
PTR	PY23	8	P33
PTR	PY24	28	PR64
PTR	PY24	28	PR50
PTR	PY24	26	PR14
